FrameCounter,Timestamp,LedState,Stimulation,Output0,Output1,Input0,Input1,Region0G,Region1G
53132,21498.530783772,6,0,0,0,0,0,0.0336899845233419,0.0313269212594158
53133,21498.555878011,1,0,0,0,0,0,0.0352277666839955,0.0324110941748908
53134,21498.580994301,6,0,0,0,0,0,0.0337296228358392,0.0313743167967043
53135,21498.606086831,1,0,0,0,0,0,0.0352288728694605,0.0324038319554675
53136,21498.631181395,6,0,0,0,0,0,0.0336737604698546,0.0313582634695582
53137,21498.656296914,1,0,0,0,0,0,0.0352345881610299,0.0323929386263327
53138,21498.681392048,6,0,0,0,0,0,0.0336719168274128,0.0313662901331312
53139,21498.706487628,1,0,0,0,0,0,0.0351864690933005,0.0323944675146323
53140,21498.731599241,6,0,0,0,0,0,0.0336697044564828,0.0313813879050901
53141,21498.756694619,1,0,0,0,0,0,0.0351940280273117,0.032418356394314
53142,21498.781790079,6,0,0,0,0,0,0.0336756041122963,0.0313687745766181
53143,21498.806903889,1,0,0,0,0,0,0.0352246324918445,0.0324265741689245
53144,21498.831998858,6,0,0,0,0,0,0.033666754628576,0.0313825345713148
53145,21498.857090086,1,0,0,0,0,0,0.0351908938351607,0.0324099475086661
53146,21498.882206867,6,0,0,0,0,0,0.0336750510195638,0.0313947656777118
53147,21498.90730196,1,0,0,0,0,0,0.0352014025970786,0.0324221786150631
53148,21498.932395792,6,0,0,0,0,0,0.0336595644230532,0.0313878856803635
53149,21498.957510375,1,0,0,0,0,0,0.0351844410866146,0.0324147252846024
53150,21498.982624469,6,0,0,0,0,0,0.0336732073771221,0.0313896056797006
53151,21499.007715249,1,0,0,0,0,0,0.0351837036296379,0.032414534173565
53152,21499.032830158,6,0,0,0,0,0,0.0336438934622984,0.0313682012435058
53153,21499.057927814,1,0,0,0,0,0,0.0351503337014425,0.0324302052786362
53154,21499.083020019,6,0,0,0,0,0,0.0336155013686957,0.0314131123373074
53155,21499.108134439,1,0,0,0,0,0,0.0351217572435955,0.0324294408344864
53156,21499.133227862,6,0,0,0,0,0,0.033624350852416,0.0313970590101613
53157,21499.158323566,1,0,0,0,0,0,0.0351436965886522,0.03242466305855
53158,21499.183438882,6,0,0,0,0,0,0.0336046238782894,0.0314075701172212
53159,21499.208533243,1,0,0,0,0,0,0.0351250757999907,0.0324321163890107
53160,21499.233627807,6,0,0,0,0,0,0.0336153170044515,0.0313813879050901
53161,21499.258753255,1,0,0,0,0,0,0.035138165661327,0.0324139608404526
53162,21499.283837156,6,0,0,0,0,0,0.0336403905416591,0.0313790945726406
53163,21499.308931476,1,0,0,0,0,0,0.0351451715026056,0.0324277208351493
53164,21499.334025878,6,0,0,0,0,0,0.0336278537730553,0.0314062323399591
53165,21499.359139078,1,0,0,0,0,0,0.0352049055177179,0.0324070808431043
53166,21499.384233152,6,0,0,0,0,0,0.0336490556611353,0.0313441212527866
53167,21499.409328856,1,0,0,0,0,0,0.0351761446956268,0.0323828097413476
53168,21499.434442463,6,0,0,0,0,0,0.0336564302309022,0.0313183212627303
53169,21499.459535155,1,0,0,0,0,0,0.0351658202979531,0.0323636986376023
53170,21499.484651326,6,0,0,0,0,0,0.0336632517079367,0.0313081923777453
53171,21499.509746458,1,0,0,0,0,0,0.0351829661726612,0.0323713430791004
53172,21499.534859861,6,0,0,0,0,0,0.0336182668323583,0.0313026501576591
53173,21499.55995414,1,0,0,0,0,0,0.0351403780322571,0.0323428675345198
53174,21499.585048339,6,0,0,0,0,0,0.033633937793113,0.0313349479229888
53175,21499.610142211,1,0,0,0,0,0,0.0351754072386501,0.0323562453071416
53176,21499.635256022,6,0,0,0,0,0,0.0336064675207311,0.0313357123671386
53177,21499.660352171,1,0,0,0,0,0,0.0351140139453402,0.0323799430757858
