FrameCounter,Timestamp,LedState,Region0G
395,116140.8063,1,0.033819387
396,116140.8314,6,0.030509422
397,116140.8565,1,0.033822853
398,116140.8816,6,0.030514968
399,116140.9067,1,0.033833424
400,116140.9318,6,0.030526926
401,116140.9569,1,0.033846076
402,116140.982,6,0.030526926
403,116141.0071,1,0.033843649
404,116141.0322,6,0.030530392
405,116141.0573,1,0.033840357
406,116141.0824,6,0.030521207
407,116141.1075,1,0.033832905
408,116141.1326,6,0.030505089
409,116141.1577,1,0.033810028
410,116141.1828,6,0.030525193
411,116141.2079,1,0.033811588
412,116141.233,6,0.030541483
413,116141.2581,1,0.033830998
414,116141.2832,6,0.030534898
415,116141.3083,1,0.033847635
416,116141.3334,6,0.030529872
417,116141.3585,1,0.033833424
418,116141.3836,6,0.030536631
419,116141.4088,1,0.033839837
420,116141.4338,6,0.030530045
421,116141.459,1,0.033828225
422,116141.484,6,0.030534898
423,116141.5091,1,0.033846249
424,116141.5342,6,0.030536111
425,116141.5593,1,0.033821293
426,116141.5844,6,0.030560547
427,116141.6096,1,0.033833251
428,116141.6347,6,0.030569559
429,116141.6597,1,0.033833771
430,116141.6849,6,0.030565573
431,116141.71,1,0.033835851
432,116141.735,6,0.030562627
433,116141.7601,1,0.033836544
434,116141.7853,6,0.030573198
435,116141.8104,1,0.033815227
436,116141.8354,6,0.030578224
437,116141.8606,1,0.033833944
438,116141.8857,6,0.030578571
439,116141.9108,1,0.033830305
440,116141.9358,6,0.030555175
441,116141.961,1,0.033817134
442,116141.9861,6,0.030568346
443,116142.0112,1,0.033835157
444,116142.0362,6,0.030570079
445,116142.0614,1,0.033813668
446,116142.0865,6,0.030551708
447,116142.1115,1,0.033845729
448,116142.1367,6,0.030548242
449,116142.1618,1,0.033836197
450,116142.1869,6,0.03056176
451,116142.212,1,0.033832558
452,116142.2371,6,0.030567999
453,116142.2622,1,0.033828918
454,116142.2873,6,0.030565053
455,116142.3124,1,0.033820253
456,116142.3375,6,0.030569906
457,116142.3626,1,0.033816094
458,116142.3877,6,0.030547202
459,116142.4128,1,0.033838277
460,116142.4379,6,0.030555868
461,116142.463,1,0.033832558
462,116142.4881,6,0.030548416
463,116142.5132,1,0.03383949
464,116142.5383,6,0.030538017
465,116142.5634,1,0.033836544
466,116142.5885,6,0.030525019
467,116142.6136,1,0.03381696
468,116142.6387,6,0.030530912
469,116142.6638,1,0.033828745
470,116142.6889,6,0.030525539
471,116142.714,1,0.033828225
472,116142.7391,6,0.030538017
473,116142.7642,1,0.033828918
474,116142.7893,6,0.03053975
475,116142.8144,1,0.033828052
476,116142.8395,6,0.030545643
477,116142.8646,1,0.033822679
478,116142.8897,6,0.030546336
479,116142.9148,1,0.033806215
480,116142.9399,6,0.030570252
481,116142.965,1,0.033816094
482,116142.9901,6,0.030575451
483,116143.0152,1,0.033842956
484,116143.0403,6,0.030578571
485,116143.0654,1,0.033832385
486,116143.0905,6,0.030569039
487,116143.1156,1,0.033826839
488,116143.1407,6,0.030560374
489,116143.1658,1,0.033832211
490,116143.1909,6,0.030556561
491,116143.216,1,0.033826492
492,116143.2411,6,0.030559334
493,116143.2662,1,0.033811935
494,116143.2913,6,0.03054079
495,116143.3164,1,0.033827532
496,116143.3415,6,0.030553441
497,116143.3666,1,0.033823719
498,116143.3917,6,0.03054183
499,116143.4168,1,0.033816787
500,116143.4419,6,0.030531778
501,116143.467,1,0.033823026
502,116143.4921,6,0.030529525
503,116143.5172,1,0.033825799
504,116143.5423,6,0.030539924
505,116143.5674,1,0.033834638
506,116143.5925,6,0.030528139
507,116143.6176,1,0.033821813
508,116143.6427,6,0.030529179
509,116143.6678,1,0.03382164
510,116143.6929,6,0.030534551
511,116143.718,1,0.03384001
512,116143.7431,6,0.030540097
513,116143.7682,1,0.033809162
514,116143.7933,6,0.030530219
515,116143.8184,1,0.033818
516,116143.8435,6,0.03054131
517,116143.8686,1,0.033792871
518,116143.8937,6,0.030526752
519,116143.9188,1,0.033806562
520,116143.9439,6,0.030532298
521,116143.969,1,0.033807602
522,116143.9941,6,0.030523806
523,116144.0192,1,0.033814014
524,116144.0443,6,0.03053923
525,116144.0694,1,0.033838624
526,116144.0945,6,0.030535764
527,116144.1196,1,0.033805696
528,116144.1447,6,0.030534898
529,116144.1698,1,0.033796684
530,116144.1949,6,0.030529179
531,116144.22,1,0.03382164
532,116144.2451,6,0.03054027
533,116144.2702,1,0.033793218
534,116144.2954,6,0.030537324
535,116144.3205,1,0.033796684
536,116144.3456,6,0.030523806
537,116144.3707,1,0.033811068
538,116144.3958,6,0.030540097
539,116144.4209,1,0.033819387
540,116144.446,6,0.030525886
541,116144.4711,1,0.03382112
542,116144.4962,6,0.030506649
543,116144.5213,1,0.03381956
544,116144.5464,6,0.030530912
545,116144.5715,1,0.033811068
546,116144.5966,6,0.030556908
547,116144.6217,1,0.033815227
548,116144.6468,6,0.030542177
549,116144.6719,1,0.033816267
550,116144.697,6,0.030533338
551,116144.7221,1,0.033808642
552,116144.7472,6,0.030558121
553,116144.7723,1,0.033823546
554,116144.7974,6,0.030569559
555,116144.8225,1,0.033814014
556,116144.8476,6,0.030556734
557,116144.8727,1,0.033805176
558,116144.8978,6,0.030547029
559,116144.9229,1,0.033806562
560,116144.948,6,0.030553441
561,116144.9731,1,0.033805349
562,116144.9982,6,0.030555348
563,116145.0233,1,0.03381852
564,116145.0484,6,0.030545643
565,116145.0735,1,0.033821986
566,116145.0986,6,0.03054183
567,116145.1237,1,0.03379911
568,116145.1488,6,0.030547549
569,116145.1739,1,0.033816614
570,116145.199,6,0.030564706
571,116145.2241,1,0.033808122
572,116145.2492,6,0.030560547
573,116145.2743,1,0.033803616
574,116145.2994,6,0.030553268
575,116145.3245,1,0.033818867
576,116145.3496,6,0.030550495
577,116145.3747,1,0.033809508
578,116145.3998,6,0.030557601
579,116145.4249,1,0.033817827
580,116145.45,6,0.030553441
581,116145.4751,1,0.033804309
582,116145.5002,6,0.030538884
583,116145.5253,1,0.033809508
584,116145.5504,6,0.030537497
585,116145.5755,1,0.033822853
586,116145.6006,6,0.030546509
587,116145.6257,1,0.033825452
588,116145.6508,6,0.030538017
589,116145.6759,1,0.033807082
590,116145.701,6,0.030557774
591,116145.7261,1,0.033810375
592,116145.7512,6,0.030559854
593,116145.7763,1,0.033810201
594,116145.8014,6,0.030556388
595,116145.8265,1,0.03380067
596,116145.8516,6,0.030547029
597,116145.8767,1,0.033821293
598,116145.9018,6,0.0305602
599,116145.9269,1,0.033836024
600,116145.952,6,0.030557947
601,116145.9772,1,0.033821466
602,116146.0022,6,0.030543043
603,116146.0273,1,0.033802923
604,116146.0525,6,0.030551189
605,116146.0776,1,0.033811241
606,116146.1026,6,0.030565746
607,116146.1278,1,0.033812454
608,116146.1529,6,0.030546856
609,116146.1779,1,0.033801883
610,116146.203,6,0.03054391
611,116146.2282,1,0.033804136
612,116146.2533,6,0.030545123
613,116146.2783,1,0.033811588
614,116146.3034,6,0.030535244
615,116146.3286,1,0.033794951
616,116146.3536,6,0.03056124
617,116146.3787,1,0.033811415
618,116146.4039,6,0.030561933
619,116146.429,1,0.033802576
620,116146.4541,6,0.030544083
621,116146.4792,1,0.03379547
622,116146.5043,6,0.030551189
623,116146.5294,1,0.033807429
624,116146.5545,6,0.030567133
625,116146.5796,1,0.033796684
626,116146.6047,6,0.030565226
627,116146.6298,1,0.033820426
628,116146.6549,6,0.030565053
629,116146.68,1,0.033804309
630,116146.7051,6,0.030569386
631,116146.7302,1,0.033801536
632,116146.7553,6,0.030557254
633,116146.7804,1,0.033796337
634,116146.8055,6,0.030566959
635,116146.8306,1,0.033815747
636,116146.8557,6,0.030546856
637,116146.8808,1,0.033825972
638,116146.9059,6,0.030572505
639,116146.931,1,0.033801709
640,116146.9561,6,0.030573025
641,116146.9812,1,0.033786805
642,116147.0063,6,0.030570425
643,116147.0314,1,0.033809162
644,116147.0565,6,0.030571292
645,116147.0816,1,0.033811935
646,116147.1067,6,0.0305654
647,116147.1318,1,0.033809855
648,116147.1569,6,0.030589489
649,116147.182,1,0.033808295
650,116147.2071,6,0.03058325
651,116147.2322,1,0.033799976
652,116147.2573,6,0.030573892
653,116147.2824,1,0.033819213
654,116147.3075,6,0.030568346
655,116147.3326,1,0.033792524
656,116147.3577,6,0.030548416
657,116147.3828,1,0.033807948
658,116147.4079,6,0.030549455
659,116147.433,1,0.033786285
660,116147.4581,6,0.030570425
661,116147.4832,1,0.033800843
662,116147.5083,6,0.030565226
663,116147.5334,1,0.033793218
664,116147.5585,6,0.030558294
665,116147.5836,1,0.033790791
666,116147.6087,6,0.030557601
667,116147.6338,1,0.033799283
668,116147.6589,6,0.030556908
669,116147.684,1,0.033795644
670,116147.7091,6,0.030549455
671,116147.7342,1,0.033806215
672,116147.7593,6,0.030562453
673,116147.7844,1,0.033802403
674,116147.8095,6,0.030544776
675,116147.8346,1,0.033798763
676,116147.8597,6,0.030545296
677,116147.8848,1,0.033790098
678,116147.9099,6,0.030562627
679,116147.935,1,0.033801883
680,116147.9601,6,0.03054131
681,116147.9852,1,0.033795124
682,116148.0103,6,0.030560374
683,116148.0354,1,0.03379911
684,116148.0605,6,0.03056228
685,116148.0856,1,0.03379911
686,116148.1107,6,0.03056072
687,116148.1358,1,0.033807948
688,116148.1609,6,0.030551189
689,116148.186,1,0.033794431
690,116148.2111,6,0.030553788
691,116148.2362,1,0.033808295
692,116148.2613,6,0.030548242
693,116148.2864,1,0.033797377
694,116148.3115,6,0.03054027
695,116148.3366,1,0.033802229
696,116148.3617,6,0.030531952
697,116148.3868,1,0.033806562
698,116148.4119,6,0.030535418
699,116148.437,1,0.03380119
700,116148.4621,6,0.030549109
701,116148.4872,1,0.033806215
702,116148.5123,6,0.030555175
703,116148.5374,1,0.033814187
704,116148.5625,6,0.030555348
705,116148.5876,1,0.033786285
706,116148.6127,6,0.030553615
707,116148.6378,1,0.033799457
708,116148.6629,6,0.030530392
709,116148.688,1,0.033812974
710,116148.7131,6,0.03054391
711,116148.7382,1,0.033813668
712,116148.7633,6,0.03054079
713,116148.7884,1,0.033795644
714,116148.8135,6,0.030553441
715,116148.8386,1,0.033814707
716,116148.8637,6,0.030535938
717,116148.8888,1,0.03381748
718,116148.9139,6,0.030538017
719,116148.939,1,0.033801883
