FrameCounter,Timestamp,LedState,Stimulation,Output0,Output1,Input0,Input1,Region0G
28509,3441.793381835,1,0,0,0,0,0,0.0338218129410451
28510,3441.818460529,6,0,0,0,0,0,0.030187246612399
28511,3441.843554727,1,0,0,0,0,0,0.0338230260806742
28512,3441.868670328,6,0,0,0,0,0,0.0301929656992217
28513,3441.893762776,1,0,0,0,0,0,0.0338368905335777
28514,3441.918859373,6,0,0,0,0,0,0.0301822207482215
28515,3441.943953327,1,0,0,0,0,0,0.0338329045033679
28516,3441.969064289,6,0,0,0,0,0,0.0301721690198664
28517,3441.994163126,1,0,0,0,0,0,0.0338212930240613
28518,3442.01925533,6,0,0,0,0,0,0.0301711291858987
28519,3442.044349973,1,0,0,0,0,0,0.0338219862467064
28520,3442.069466714,6,0,0,0,0,0,0.0301622905971727
28521,3442.094561441,1,0,0,0,0,0,0.0338169603825289
28522,3442.119656208,6,0,0,0,0,0,0.0301834338878505
28523,3442.144750447,1,0,0,0,0,0,0.0338180002164967
28524,3442.169863889,6,0,0,0,0,0,0.0301647168764308
28525,3442.194956134,1,0,0,0,0,0,0.0338263188882388
28526,3442.220050902,6,0,0,0,0,0,0.0301628105141566
28527,3442.245167723,1,0,0,0,0,0,0.0338259722769162
28528,3442.270280069,6,0,0,0,0,0,0.0301600376235759
28529,3442.295375854,1,0,0,0,0,0,0.0338283985561743
28530,3442.320489825,6,0,0,0,0,0,0.0301747686047859
28531,3442.345584674,1,0,0,0,0,0,0.0338069086541739
28532,3442.370676797,6,0,0,0,0,0,0.0301492926725757
28533,3442.395771565,1,0,0,0,0,0,0.0338141874919482
28534,3442.420888346,6,0,0,0,0,0,0.0301515456461725
28535,3442.44598242,1,0,0,0,0,0,0.0338278786391904
28536,3442.471075316,6,0,0,0,0,0,0.0301330019404141
28537,3442.496190428,1,0,0,0,0,0,0.0338183468278193
28538,3442.521285603,6,0,0,0,0,0,0.0301427070574466
28539,3442.546380737,1,0,0,0,0,0,0.0338372371449003
28540,3442.571474282,6,0,0,0,0,0,0.0301385477215755
28541,3442.596588825,1,0,0,0,0,0,0.0338070819598352
28542,3442.621678669,6,0,0,0,0,0,0.0301491193669144
28543,3442.646778238,1,0,0,0,0,0,0.0338046556805771
28544,3442.671872597,6,0,0,0,0,0,0.0301520655631564
28545,3442.696984983,1,0,0,0,0,0,0.03380638873719
28546,3442.722081094,6,0,0,0,0,0,0.0301387210272368
28547,3442.747173461,1,0,0,0,0,0,0.0338273587222065
28548,3442.772289428,6,0,0,0,0,0,0.0301444401140595
28549,3442.797382608,1,0,0,0,0,0,0.0338148807145934
28550,3442.822498004,6,0,0,0,0,0,0.0301510257291886
28551,3442.847594033,1,0,0,0,0,0,0.033796337008835
28552,3442.872685505,6,0,0,0,0,0,0.0301584778726243
28553,3442.89778365,1,0,0,0,0,0,0.0337783132200605
28554,3442.922895466,6,0,0,0,0,0,0.0301643702651082
28555,3442.948006469,1,0,0,0,0,0,0.0338030959296254
28556,3442.973083291,6,0,0,0,0,0,0.0301442668083982
28557,3442.998178465,1,0,0,0,0,0,0.0338140141862869
28558,3443.023295043,6,0,0,0,0,0,0.030159517706592
28559,3443.048389119,1,0,0,0,0,0,0.0337913111446575
28560,3443.07348124,6,0,0,0,0,0,0.0301581312613017
28561,3443.098576658,1,0,0,0,0,0,0.0338197332731096
28562,3443.12367342,6,0,0,0,0,0,0.0301472130046402
28563,3443.148768188,1,0,0,0,0,0,0.0337887115597381
28564,3443.173881713,6,0,0,0,0,0,0.0301555316763823
