,Values,Placement,Behaviors
58,1.184827089015429,Baseline,Event 16
59,-0.5636324014341203,Baseline,Event 16
60,-0.7344362909148725,Baseline,Event 16
61,-0.4320863185904452,Baseline,Event 16
62,-0.1648196108410381,Baseline,Event 16
63,0.3526681504958947,Baseline,Event 16
64,0.2242479051113638,Baseline,Event 16
65,2.698782931975588,Event,Event 16
66,0.7101945283174561,Event,Event 16
67,4.503558882467965,Event,Event 16
68,1.191315333228264,Event,Event 16
69,2.046879227657373,Event,Event 16
70,-0.5406907539582819,Event,Event 16
71,-0.2105251955525915,Event,Event 16
72,-0.3563475402144819,Event,Event 16
73,0.9686652185733949,Event,Event 16
74,-0.7194248343309105,Baseline,Event 17
75,4.38688858358829,Baseline,Event 17
76,1.800695445459261,Baseline,Event 17
77,0.506058414052956,Baseline,Event 17
78,-0.4385829268673433,Baseline,Event 17
79,-0.5804796309157515,Baseline,Event 17
80,0.5093262343675581,Baseline,Event 17
81,-0.2167282687627918,Baseline,Event 17
82,-0.448467401963747,Baseline,Event 17
83,0.2480003378436126,Baseline,Event 17
84,0.09777899909442776,Baseline,Event 17
85,0.3004201588869594,Baseline,Event 17
86,-0.5143857995022991,Baseline,Event 17
87,-0.3700238054538825,Baseline,Event 17
88,0.4522482414479669,Baseline,Event 17
89,0.09279266650967953,Baseline,Event 17
90,-0.217232184668263,Baseline,Event 17
91,0.7072395056908537,Baseline,Event 17
92,-0.436169621604221,Baseline,Event 17
93,0.3865165421187872,Baseline,Event 17
94,-0.9037203914804176,Baseline,Event 17
95,-0.7538031925904484,Baseline,Event 17
96,0.3226522813513866,Baseline,Event 17
97,-0.7831055907224993,Baseline,Event 17
98,0.4935033564314529,Baseline,Event 17
99,1.813343747972058,Event,Event 17
100,2.766492684204915,Event,Event 17
101,0.8184846475572221,Event,Event 17
102,3.036420583709019,Event,Event 17
103,-0.09851229559620585,Event,Event 17
104,0.5898183837731413,Event,Event 17
105,-0.4815682591938119,Event,Event 17
106,-0.4989873090037852,Event,Event 17
107,-0.164535267407511,Event,Event 17
108,-0.1542586574738337,Event,Event 17
109,-0.6444452108806503,Event,Event 17
110,-0.38978826447697,Event,Event 17
111,0.3890818366981271,Event,Event 17
112,-0.3408040928688602,Event,Event 17
113,-0.5477022739503926,Event,Event 17
114,0.3025006852851008,Event,Event 17
115,0.2840081940822881,Event,Event 17
116,-0.1005542013833799,Event,Event 17
117,-0.2840641761809746,Event,Event 17
118,0.01812822857549314,Event,Event 17
119,-0.1477485262776118,Event,Event 17
120,-0.01603730531417261,Event,Event 17
121,0.7861527695729899,Event,Event 17
122,-0.4725038132038326,Event,Event 17
123,0.418093515841612,Event,Event 17
124,-0.654555950947266,Baseline,Event 18
125,0.4522482414479669,Baseline,Event 18
126,1.289617245244532,Event,Event 18
127,-0.5477022739503926,Event,Event 18
