,Time,zF
5599,279.95,-0.8389589015096328
5600,280.0,-0.8487899406854416
5601,280.05,-0.8617792776254639
5602,280.1,-0.8795107925937651
5603,280.15,-0.8912507842918423
5604,280.2,-0.9115997082548871
5605,280.25,-0.9243952702127624
5606,280.3,-0.9355690068951263
5607,280.35,-0.9369102244734642
5608,280.4,-0.9365351510582557
5609,280.45,-0.9417505985952739
5610,280.5,-0.9526617594262888
5611,280.55,-0.9509828876090918
5612,280.6,-0.9467939314977141
5613,280.65,-0.956899921101072
5614,280.7,-0.967032384343824
5615,280.75,-0.9808743264539836
5616,280.8,-0.9836504611812704
5617,280.85,-0.9996023873715002
5618,280.9,-1.0105947056461366
5619,280.95,-1.0198702344996067
5620,281.0,-1.0308594989321622
5621,281.05,-1.0388539538801738
5622,281.1,-1.0385369908103923
5623,281.15,-1.0433674797916823
5624,281.2,-1.0397586423884146
5625,281.25,-1.0366435541296684
5626,281.3,-1.0420343289302176
5627,281.35,-1.0395710236266813
5628,281.4,-1.0380645806308215
5629,281.45,-1.025983701177287
5630,281.5,-1.01339113527427
5631,281.55,-0.9984268885159515
5632,281.6,-0.9783802625834611
5633,281.65,-0.963771292846956
5634,281.7,-0.9539998729459606
5635,281.75,-0.9456445490897363
5636,281.8,-0.93301787508618
5637,281.85,-0.9183010536573009
5638,281.9,-0.9091282982125535
5639,281.95,-0.914141597686518
5640,282.0,-0.9074679366587517
5641,282.05,-0.9008586378338815
5642,282.1,-0.9019025408699709
5643,282.15,-0.9016341417231543
5644,282.2,-0.8965386461220178
5645,282.25,-0.8921902648073694
5646,282.3,-0.8878292875476874
5647,282.35,-0.8731386829053235
5648,282.4,-0.8686066671993259
5649,282.45,-0.8569056035057422
5650,282.5,-0.8477702746845274
5651,282.55,-0.8315497392203458
5652,282.6,-0.8171626853144031
5653,282.65,-0.8056039657524791
5654,282.7,-0.7810039139352856
5655,282.75,-0.7641841371293537
5656,282.8,-0.7496253515652797
5657,282.85,-0.7384936031142457
5658,282.9,-0.7266803393250654
5659,282.95,-0.7098509792807997
5660,283.0,-0.6974471648908003
5661,283.05,-0.6774813259804807
5662,283.1,-0.6626315169702198
5663,283.15,-0.6414363767321049
5664,283.2,-0.6248769494521597
5665,283.25,-0.6078439359250695
5666,283.3,-0.5965429543998182
5667,283.35,-0.5899317724410653
5668,283.4,-0.58777199819637
5669,283.45,-0.5783151030678895
5670,283.5,-0.5808523939655554
5671,283.55,-0.5807106246689864
5672,283.6,-0.571088793114101
5673,283.65,-0.5625003664110367
5674,283.7,-0.5540106398314271
5675,283.75,-0.5467593795780027
5676,283.8,-0.5314380618018912
5677,283.85,-0.5252819077729439
5678,283.9,-0.5104352414601562
5679,283.95,-0.5023740987896775
5680,284.0,-0.4958178511432063
5681,284.05,-0.49747993593567374
5682,284.1,-0.4919736443861925
5683,284.15,-0.4907679601880251
5684,284.2,-0.48971302305904185
5685,284.25,-0.47990408976785154
5686,284.3,-0.4823466842092368
5687,284.35,-0.4806576662943812
5688,284.4,-0.48042785281478656
5689,284.45,-0.49460131287404957
5690,284.5,-0.5065192188416684
5691,284.55,-0.5190868970747913
5692,284.6,-0.529270664350815
5693,284.65,-0.5370285919715774
5694,284.7,-0.5541018094600665
5695,284.75,-0.5619845077908671
5696,284.8,-0.5681745658907443
5697,284.85,-0.5636316748722511
5698,284.9,-0.5593588703088463
5699,284.95,-0.5549782014591134
5700,285.0,-0.5485696777284419
5701,285.05,-0.5431745613218484
5702,285.1,-0.5401909012739912
5703,285.15,-0.5328951163015605
5704,285.2,-0.5344148099197439
5705,285.25,-0.5410398427368364
5706,285.3,-0.5494697266972345
5707,285.35,-0.5552900749552359
5708,285.4,-0.5631892522990783
5709,285.45,-0.5705029473509685
5710,285.5,-0.5767961869551916
5711,285.55,-0.5904006326617817
5712,285.6,-0.6016271965096205
5713,285.65,-0.6218879799432911
5714,285.7,-0.6375076830622382
5715,285.75,-0.6545462524994512
5716,285.8,-0.6686588772438964
5717,285.85,-0.6797900549700968
5718,285.9,-0.6998239375919135
5719,285.95,-0.7127626288090951
5720,286.0,-0.7264282965752098
5721,286.05,-0.7428181209273345
5722,286.1,-0.7654576723568327
5723,286.15,-0.7841149822021537
5724,286.2,-0.8005605169576547
5725,286.25,-0.8165051506208433
5726,286.3,-0.823723007173274
5727,286.35,-0.8329020558605021
5728,286.4,-0.844889877102266
5729,286.45,-0.847028844174085
5730,286.5,-0.8590512640880479
5731,286.55,-0.8775062054340016
5732,286.6,-0.8909313584620061
5733,286.65,-0.8994626717354299
5734,286.7,-0.9067904104839792
5735,286.75,-0.9230445736377224
5736,286.8,-0.9348500549538337
5737,286.85,-0.9509565060186712
5738,286.9,-0.9646708927030092
5739,286.95,-0.9769112442632093
5740,287.0,-0.9853230347970471
5741,287.05,-0.9995729855227271
5742,287.1,-1.004882736558581
5743,287.15,-1.012270454462782
5744,287.2,-1.0261254007460106
5745,287.25,-1.0273147117630976
5746,287.3,-1.0314588325186342
5747,287.35,-1.0427373257105979
5748,287.4,-1.036959568220723
5749,287.45,-1.0363261255650913
5750,287.5,-1.0441187262314475
5751,287.55,-1.0465097030735624
5752,287.6,-1.0500751805920907
5753,287.65,-1.0457434667864272
5754,287.7,-1.0467231407147384
5755,287.75,-1.0498601510348051
5756,287.8,-1.0599484285847853
5757,287.85,-1.071929726809512
5758,287.9,-1.0881546783117864
5759,287.95,-1.1021198343138428
5760,288.0,-1.1200542711146513
5761,288.05,-1.1396417391544593
5762,288.1,-1.1636117678639986
5763,288.15,-1.1845977993658414
5764,288.2,-1.2048630599243286
5765,288.25,-1.2242314205602434
5766,288.3,-1.2433144224818031
5767,288.35,-1.2640931487849791
5768,288.4,-1.2844082805090216
5769,288.45,-1.3026713543221111
5770,288.5,-1.309409753591907
5771,288.55,-1.3172444134072219
5772,288.6,-1.3222474067581376
5773,288.65,-1.3297371377252238
5774,288.7,-1.33066510417681
5775,288.75,-1.3343835757393978
5776,288.8,-1.3358471642553473
5777,288.85,-1.336463414933843
5778,288.9,-1.3290304677037657
5779,288.95,-1.3302702975239
5780,289.0,-1.3263978367345233
5781,289.05,-1.3168625889017933
5782,289.1,-1.3083333721794788
5783,289.15,-1.2987656666768965
5784,289.2,-1.2911795941209694
5785,289.25,-1.2930173639831637
5786,289.3,-1.289861550706276
5787,289.35,-1.2897683581853603
5788,289.4,-1.2971388217119528
5789,289.45,-1.2969287573522603
5790,289.5,-1.2917314280453325
